"geoid","geolevel","year","level","value"
"54001965500","tract",2023,"education_score",106.46
"54001965600","tract",2023,"education_score",114.6
"54001965700","tract",2023,"education_score",90.28
"54001965800","tract",2023,"education_score",121.19
"54003971101","tract",2023,"education_score",103.78
"54003971103","tract",2023,"education_score",104.17
"54003971104","tract",2023,"education_score",107.34
"54003971105","tract",2023,"education_score",95.16
"54003971203","tract",2023,"education_score",100.03
"54003971204","tract",2023,"education_score",85.3
"54003971205","tract",2023,"education_score",103.93
"54003971206","tract",2023,"education_score",100.5
"54003971301","tract",2023,"education_score",100.16
"54003971302","tract",2023,"education_score",107.87
"54003971401","tract",2023,"education_score",94.85
"54003971402","tract",2023,"education_score",106.89
"54003971500","tract",2023,"education_score",101.86
"54003971600","tract",2023,"education_score",100.3
"54003971700","tract",2023,"education_score",122.8
"54003971801","tract",2023,"education_score",104.59
"54003971802","tract",2023,"education_score",94.26
"54003971901","tract",2023,"education_score",106.77
"54003971902","tract",2023,"education_score",103.82
"54003972001","tract",2023,"education_score",93.06
"54003972002","tract",2023,"education_score",101.83
"54003972003","tract",2023,"education_score",110.79
"54003972101","tract",2023,"education_score",99.2
"54003972103","tract",2023,"education_score",94.5
"54003972104","tract",2023,"education_score",98.93
"54003972105","tract",2023,"education_score",105.8
"54005958200","tract",2023,"education_score",116.57
"54005958300","tract",2023,"education_score",89.31
"54005958400","tract",2023,"education_score",105.98
"54005958501","tract",2023,"education_score",124.01
"54005958502","tract",2023,"education_score",111.78
"54005958600","tract",2023,"education_score",103.96
"54005958700","tract",2023,"education_score",119.2
"54005958800","tract",2023,"education_score",126.29
"54007967900","tract",2023,"education_score",118.98
"54007968000","tract",2023,"education_score",107.14
"54007968100","tract",2023,"education_score",112.98
"54009031102","tract",2023,"education_score",90.62
"54009031103","tract",2023,"education_score",113.38
"54009031104","tract",2023,"education_score",91.33
"54009031200","tract",2023,"education_score",102.19
"54009031401","tract",2023,"education_score",99.81
"54009031402","tract",2023,"education_score",108.47
"54009031600","tract",2023,"education_score",93.62
"54009031700","tract",2023,"education_score",102.91
"54011000101","tract",2023,"education_score",105.07
"54011000102","tract",2023,"education_score",111.21
"54011000200","tract",2023,"education_score",125.49
"54011000300","tract",2023,"education_score",100.91
"54011000400","tract",2023,"education_score",120.45
"54011000500","tract",2023,"education_score",NA
"54011000600","tract",2023,"education_score",NA
"54011000900","tract",2023,"education_score",104.61
"54011001000","tract",2023,"education_score",103.46
"54011001100","tract",2023,"education_score",106.9
"54011001200","tract",2023,"education_score",96.78
"54011001300","tract",2023,"education_score",91.19
"54011001400","tract",2023,"education_score",101.23
"54011001500","tract",2023,"education_score",106.82
"54011001600","tract",2023,"education_score",118.83
"54011001800","tract",2023,"education_score",104.94
"54011001900","tract",2023,"education_score",86.42
"54011002000","tract",2023,"education_score",80.14
"54011002100","tract",2023,"education_score",92.56
"54011010103","tract",2023,"education_score",100.44
"54011010104","tract",2023,"education_score",103.4
"54011010202","tract",2023,"education_score",96.03
"54011010203","tract",2023,"education_score",95.68
"54011010204","tract",2023,"education_score",78.87
"54011010300","tract",2023,"education_score",94.94
"54011010401","tract",2023,"education_score",98.19
"54011010402","tract",2023,"education_score",90.96
"54011010500","tract",2023,"education_score",115.99
"54011010600","tract",2023,"education_score",105.58
"54011010701","tract",2023,"education_score",92.87
"54011010702","tract",2023,"education_score",107.96
"54011010801","tract",2023,"education_score",93.48
"54011010802","tract",2023,"education_score",92.61
"54011010900","tract",2023,"education_score",80.58
"54013962600","tract",2023,"education_score",96.92
"54013962700","tract",2023,"education_score",116.53
"54015957900","tract",2023,"education_score",107.78
"54015958000","tract",2023,"education_score",116.43
"54015958100","tract",2023,"education_score",123.23
"54017965000","tract",2023,"education_score",106.72
"54017965100","tract",2023,"education_score",116.08
"54019020101","tract",2023,"education_score",104.7
"54019020102","tract",2023,"education_score",106.76
"54019020201","tract",2023,"education_score",104.57
"54019020202","tract",2023,"education_score",115.41
"54019020300","tract",2023,"education_score",113.96
"54019020400","tract",2023,"education_score",100
"54019020500","tract",2023,"education_score",108.21
"54019020600","tract",2023,"education_score",114.02
"54019020700","tract",2023,"education_score",105.05
"54019020800","tract",2023,"education_score",109.51
"54019020900","tract",2023,"education_score",112.68
"54019021000","tract",2023,"education_score",96.83
"54019021100","tract",2023,"education_score",105.14
"54021967701","tract",2023,"education_score",111.04
"54021967800","tract",2023,"education_score",112.43
"54021980000","tract",2023,"education_score",NA
"54023969400","tract",2023,"education_score",101.54
"54023969500","tract",2023,"education_score",96.38
"54023969600","tract",2023,"education_score",103.92
"54025950101","tract",2023,"education_score",94.78
"54025950102","tract",2023,"education_score",113.57
"54025950200","tract",2023,"education_score",114.11
"54025950300","tract",2023,"education_score",122.16
"54025950401","tract",2023,"education_score",76.49
"54025950402","tract",2023,"education_score",97.73
"54025950500","tract",2023,"education_score",106.01
"54025950600","tract",2023,"education_score",88.69
"54025950701","tract",2023,"education_score",107.14
"54025950702","tract",2023,"education_score",121.63
"54027968201","tract",2023,"education_score",99.42
"54027968202","tract",2023,"education_score",102.89
"54027968301","tract",2023,"education_score",96.96
"54027968302","tract",2023,"education_score",109.12
"54027968401","tract",2023,"education_score",107.06
"54027968402","tract",2023,"education_score",104.03
"54027968500","tract",2023,"education_score",102.79
"54027968601","tract",2023,"education_score",109.77
"54027968602","tract",2023,"education_score",101.33
"54029020600","tract",2023,"education_score",95.63
"54029020700","tract",2023,"education_score",99.43
"54029020900","tract",2023,"education_score",121.2
"54029021100","tract",2023,"education_score",100.04
"54029021200","tract",2023,"education_score",116.56
"54029021300","tract",2023,"education_score",98.03
"54029021400","tract",2023,"education_score",97.59
"54029021500","tract",2023,"education_score",113.02
"54031970101","tract",2023,"education_score",98.54
"54031970102","tract",2023,"education_score",102.56
"54031970201","tract",2023,"education_score",119.1
"54031970202","tract",2023,"education_score",108.6
"54031970300","tract",2023,"education_score",109.85
"54033030100","tract",2023,"education_score",104.75
"54033030200","tract",2023,"education_score",114.62
"54033030300","tract",2023,"education_score",93.17
"54033030400","tract",2023,"education_score",107.36
"54033030501","tract",2023,"education_score",110.8
"54033030502","tract",2023,"education_score",109.59
"54033030601","tract",2023,"education_score",101.35
"54033030603","tract",2023,"education_score",103.16
"54033030604","tract",2023,"education_score",100.03
"54033030700","tract",2023,"education_score",87.65
