"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"32003","zcta",2023,118.31,107.28,102.61,96.74,"education_score",117.18
"32008","zcta",2023,81.09,104.72,95.31,95.71,"education_score",86.61
"32009","zcta",2023,97.77,67.92,91.42,111.02,"education_score",89.87
"32011","zcta",2023,93.43,89.67,95.76,99.53,"education_score",91.76
"32024","zcta",2023,88.57,98.99,99.14,89.68,"education_score",90.01
"32025","zcta",2023,94.24,93.37,91.23,77.87,"education_score",94.02
"32026","zcta",2023,NA,NA,NA,NA,"education_score",NA
"32033","zcta",2023,105.6,84.13,60.67,112.3,"education_score",106.2
"32034","zcta",2023,123.39,105.78,84.91,90.71,"education_score",124.14
"32038","zcta",2023,92.68,68.07,95.73,108.27,"education_score",84.57
"32040","zcta",2023,95.06,90.46,102.39,97.93,"education_score",92.75
"32043","zcta",2023,107.24,105.01,110.02,74.86,"education_score",105.03
"32044","zcta",2023,82.77,78.43,108.22,111.02,"education_score",78.35
"32046","zcta",2023,98.63,87.41,104.46,103.78,"education_score",93.45
"32052","zcta",2023,74.55,64.44,85.29,98.29,"education_score",71.1
"32053","zcta",2023,68.92,82.38,122.5,111.02,"education_score",65.52
"32054","zcta",2023,81.36,88.53,95.4,100.88,"education_score",81.7
"32055","zcta",2023,88.2,104.23,108.86,75.02,"education_score",89.55
"32058","zcta",2023,76.7,68.95,100.33,101.61,"education_score",71.87
"32059","zcta",2023,76.52,84.31,75.15,101.69,"education_score",80.33
"32060","zcta",2023,85.38,92.06,95.07,87.83,"education_score",86.82
"32061","zcta",2023,NA,NA,NA,NA,"education_score",NA
"32062","zcta",2023,74.64,74.45,130.44,114.99,"education_score",66.12
"32063","zcta",2023,95.88,96.23,113.36,95.02,"education_score",92.7
"32064","zcta",2023,99.36,86.42,97.9,88.64,"education_score",95.34
"32065","zcta",2023,106.28,99.26,115.5,79.15,"education_score",101.48
"32066","zcta",2023,82.37,100.02,90.62,103.98,"education_score",87.61
"32068","zcta",2023,104.56,96.63,112.54,54.41,"education_score",98.85
"32071","zcta",2023,81.18,79.58,94.47,108.68,"education_score",80.19
"32072","zcta",2023,NA,NA,NA,NA,"education_score",NA
"32073","zcta",2023,108.07,93.58,93.55,68.99,"education_score",104.98
"32079","zcta",2023,NA,NA,NA,NA,"education_score",NA
"32080","zcta",2023,119.55,103.91,80.03,104.23,"education_score",121.69
"32081","zcta",2023,129.79,100.22,109.07,99.36,"education_score",123.76
"32082","zcta",2023,124.93,113.71,94.23,92.74,"education_score",126.84
"32083","zcta",2023,NA,NA,NA,NA,"education_score",NA
"32084","zcta",2023,107.22,95.97,90.58,51.75,"education_score",105.44
"32086","zcta",2023,105.47,98.62,87.91,97.97,"education_score",106.47
