"geoid","geolevel","year","level","value"
"50001","zcta",2023,"education_score",127.97
"50002","zcta",2023,"education_score",104.03
"50003","zcta",2023,"education_score",119.81
"50005","zcta",2023,"education_score",105.95
"50006","zcta",2023,"education_score",103.87
"50007","zcta",2023,"education_score",121.31
"50008","zcta",2023,"education_score",105.97
"50009","zcta",2023,"education_score",109.78
"50010","zcta",2023,"education_score",125
"50012","zcta",2023,"education_score",NA
"50013","zcta",2023,"education_score",NA
"50014","zcta",2023,"education_score",128.75
"50020","zcta",2023,"education_score",91.93
"50021","zcta",2023,"education_score",112.45
"50022","zcta",2023,"education_score",96.85
"50023","zcta",2023,"education_score",121.39
"50025","zcta",2023,"education_score",95.84
"50026","zcta",2023,"education_score",86.26
"50027","zcta",2023,"education_score",96.44
"50028","zcta",2023,"education_score",99.82
"50029","zcta",2023,"education_score",93.99
"50031","zcta",2023,"education_score",NA
"50032","zcta",2023,"education_score",NA
"50033","zcta",2023,"education_score",NA
"50034","zcta",2023,"education_score",109.08
"50035","zcta",2023,"education_score",122.8
"50036","zcta",2023,"education_score",109.42
"50038","zcta",2023,"education_score",113.74
"50039","zcta",2023,"education_score",105.59
"50040","zcta",2023,"education_score",99.09
"50041","zcta",2023,"education_score",NA
"50042","zcta",2023,"education_score",103.67
"50044","zcta",2023,"education_score",99.41
"50046","zcta",2023,"education_score",122.91
"50047","zcta",2023,"education_score",106.78
"50048","zcta",2023,"education_score",94.05
"50049","zcta",2023,"education_score",96.23
"50050","zcta",2023,"education_score",101.24
"50051","zcta",2023,"education_score",109.52
"50052","zcta",2023,"education_score",NA
"50054","zcta",2023,"education_score",105.12
"50055","zcta",2023,"education_score",107.5
"50056","zcta",2023,"education_score",107.63
"50057","zcta",2023,"education_score",103.18
"50058","zcta",2023,"education_score",82.68
"50060","zcta",2023,"education_score",83.05
"50061","zcta",2023,"education_score",127.11
"50062","zcta",2023,"education_score",95.28
"50063","zcta",2023,"education_score",111.76
"50064","zcta",2023,"education_score",NA
"50065","zcta",2023,"education_score",NA
"50066","zcta",2023,"education_score",108.89
"50067","zcta",2023,"education_score",62.55
"50068","zcta",2023,"education_score",77.78
"50069","zcta",2023,"education_score",112.22
"50070","zcta",2023,"education_score",113.68
"50071","zcta",2023,"education_score",98.18
"50072","zcta",2023,"education_score",121.97
"50073","zcta",2023,"education_score",120.4
"50074","zcta",2023,"education_score",129.61
"50075","zcta",2023,"education_score",101.39
"50076","zcta",2023,"education_score",99.85
"50078","zcta",2023,"education_score",NA
"50101","zcta",2023,"education_score",NA
"50102","zcta",2023,"education_score",NA
"50103","zcta",2023,"education_score",NA
"50104","zcta",2023,"education_score",NA
"50105","zcta",2023,"education_score",119.2
"50106","zcta",2023,"education_score",100.85
"50107","zcta",2023,"education_score",103.91
"50108","zcta",2023,"education_score",95.4
"50109","zcta",2023,"education_score",126.94
"50110","zcta",2023,"education_score",NA
"50111","zcta",2023,"education_score",125.84
"50112","zcta",2023,"education_score",111.1
"50115","zcta",2023,"education_score",97.21
"50116","zcta",2023,"education_score",99.99
"50117","zcta",2023,"education_score",NA
"50118","zcta",2023,"education_score",96.66
"50119","zcta",2023,"education_score",87.29
"50120","zcta",2023,"education_score",128.2
"50122","zcta",2023,"education_score",115.2
"50123","zcta",2023,"education_score",86.68
"50124","zcta",2023,"education_score",128.22
"50125","zcta",2023,"education_score",111.45
"50126","zcta",2023,"education_score",102.94
"50127","zcta",2023,"education_score",NA
"50128","zcta",2023,"education_score",106.65
"50129","zcta",2023,"education_score",101.25
"50130","zcta",2023,"education_score",100.75
"50131","zcta",2023,"education_score",124.83
