"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"63005","zcta",2023,129.92,150.36,112.1,86.67,"education_score",139.71
"63010","zcta",2023,103.86,98.08,95.74,78.97,"education_score",102.51
"63011","zcta",2023,126.71,115.41,102.97,55.64,"education_score",126.5
"63012","zcta",2023,109.51,106.79,102.83,86.66,"education_score",108.71
"63013","zcta",2023,106.96,93.79,102.02,108.78,"education_score",103.13
"63014","zcta",2023,118.74,91.2,76.6,110.79,"education_score",116.11
"63015","zcta",2023,93.98,54.98,72.82,107.57,"education_score",86.28
"63016","zcta",2023,101.01,95.07,89.83,91.31,"education_score",100.39
"63017","zcta",2023,126.89,130.79,98.25,77.5,"education_score",133
"63019","zcta",2023,96.36,87.17,99.98,94.67,"education_score",92.35
"63020","zcta",2023,93.25,89.18,99.84,76.3,"education_score",90.01
"63021","zcta",2023,124.56,116.95,104.78,76,"education_score",125.15
"63023","zcta",2023,90.97,102.32,98.56,103.95,"education_score",93.82
"63025","zcta",2023,120.7,122.58,116.54,94.97,"education_score",121.44
"63026","zcta",2023,112.35,112.83,105.94,89.12,"education_score",113.11
"63028","zcta",2023,104.88,96.87,107.06,74.64,"education_score",100.94
"63030","zcta",2023,80.3,107.27,132.74,106.27,"education_score",79.95
"63031","zcta",2023,106.11,99.8,111.09,45.7,"education_score",101.75
"63033","zcta",2023,107.91,91.93,108.59,60.27,"education_score",101.4
"63034","zcta",2023,115.44,121.13,112.95,86.38,"education_score",117.07
"63036","zcta",2023,113.11,108.89,59.56,111.16,"education_score",119.96
"63037","zcta",2023,96.64,96.52,83.33,103.7,"education_score",99.06
"63038","zcta",2023,121.92,129.4,110.96,82.37,"education_score",125.76
"63039","zcta",2023,78.02,75.89,120.1,111.02,"education_score",72.65
"63040","zcta",2023,126.8,110.18,111.48,99.3,"education_score",124.07
"63041","zcta",2023,103.41,97.76,70.49,100.77,"education_score",107.14
"63042","zcta",2023,108.3,88.55,94.42,75.24,"education_score",103.28
"63043","zcta",2023,116.88,115.86,97.54,95.22,"education_score",119.47
"63044","zcta",2023,103.67,103.22,97.86,90.03,"education_score",104.72
"63045","zcta",2023,NA,NA,NA,NA,"education_score",NA
"63047","zcta",2023,NA,NA,NA,NA,"education_score",NA
"63048","zcta",2023,106.02,90.3,113.8,101.06,"education_score",99.23
"63049","zcta",2023,106.61,97.6,98.27,99.3,"education_score",104.65
"63050","zcta",2023,100.19,100.92,112.44,84.86,"education_score",97.4
"63051","zcta",2023,99.1,101.16,99.5,103.8,"education_score",99.57
"63052","zcta",2023,110.95,99.83,112.1,87.71,"education_score",106.04
"63053","zcta",2023,NA,NA,NA,NA,"education_score",NA
"63055","zcta",2023,90.84,111.38,82.47,105.87,"education_score",99.51
"63056","zcta",2023,113.49,83.07,102.46,104.79,"education_score",105.34
"63060","zcta",2023,84.54,97.9,89.02,107.09,"education_score",88.83
"63061","zcta",2023,88.14,108.17,146.87,118.06,"education_score",83.49
"63068","zcta",2023,106.89,93.26,111.6,95.43,"education_score",101.04
"63069","zcta",2023,109.95,103.17,87.85,74.94,"education_score",110.54
"63070","zcta",2023,102.53,87.93,115.68,103.86,"education_score",94.83
"63071","zcta",2023,66.65,55.83,92.03,111.92,"education_score",61.7
"63072","zcta",2023,103.74,90.56,114.91,98.1,"education_score",95.88
"63073","zcta",2023,131.25,113.47,91.75,111.02,"education_score",132.97
"63074","zcta",2023,99.07,98.49,98.33,92.33,"education_score",98.38
"63077","zcta",2023,92.11,98.15,101.48,91.18,"education_score",92.01
"63079","zcta",2023,99.08,108.19,133.81,103.69,"education_score",95.9
"63080","zcta",2023,98.51,91.44,101.48,81.14,"education_score",95.12
"63084","zcta",2023,98.82,94.57,95.31,83.58,"education_score",97.53
"63087","zcta",2023,88.33,117.44,101.26,111.68,"education_score",95.41
"63088","zcta",2023,114.64,101.74,94.14,95.56,"education_score",114.4
"63089","zcta",2023,104.1,98.63,101.79,89.84,"education_score",101.58
"63090","zcta",2023,109.57,87.8,95.44,79.26,"education_score",104.79
"63091","zcta",2023,101.45,84.78,102.18,102.9,"education_score",95.07
"63101","zcta",2023,129.16,197.78,78.49,101.55,"education_score",159.5
"63102","zcta",2023,122.46,116.53,58.75,103.46,"education_score",131.46
"63103","zcta",2023,115.68,79.12,93.04,67.67,"education_score",108.25
"63104","zcta",2023,121.29,111,80.15,77.87,"education_score",124.85
"63105","zcta",2023,126.91,100.9,126,81.38,"education_score",119.46
"63106","zcta",2023,85.95,91.91,118.09,61.02,"education_score",81.74
"63107","zcta",2023,82.42,90.01,100.86,92.76,"education_score",82.1
"63108","zcta",2023,123.05,107.99,97.33,88.47,"education_score",123.78
"63109","zcta",2023,122.86,113.16,79.05,83.7,"education_score",127.06
"63110","zcta",2023,128.43,107.12,89.57,64.96,"education_score",128.18
"63111","zcta",2023,91.85,84.09,108.6,93.73,"education_score",86.62
"63112","zcta",2023,110.98,91.69,93.52,90.9,"education_score",108.4
"63113","zcta",2023,90.58,86.94,94.23,94.04,"education_score",89.1
"63114","zcta",2023,97.04,97.47,95.44,64.46,"education_score",96.69
"63115","zcta",2023,92.3,96.42,104.38,95.59,"education_score",91.24
"63116","zcta",2023,103.72,104.66,97.4,79.08,"education_score",105.26
"63117","zcta",2023,133.93,114.87,102.11,71.07,"education_score",133.11
"63118","zcta",2023,101.14,104.37,100.91,63.17,"education_score",101.96
"63119","zcta",2023,126.59,121.45,103.27,67.51,"education_score",128.45
"63120","zcta",2023,74.09,83.01,125.01,95.47,"education_score",68.69
"63121","zcta",2023,105.89,80.86,106.65,87.82,"education_score",97.32
"63122","zcta",2023,125.14,125.54,111.82,57.19,"education_score",127.04
"63123","zcta",2023,109.51,96.84,94.03,70.25,"education_score",107.69
"63124","zcta",2023,133.51,150.26,92.14,83.84,"education_score",146.6
"63125","zcta",2023,98.31,94.53,98.29,86.29,"education_score",96.93
"63126","zcta",2023,124.31,108.49,99.33,89.36,"education_score",123.36
"63127","zcta",2023,125.29,126.93,97.6,95.56,"education_score",130.61
"63128","zcta",2023,119.69,109.78,89.11,95.02,"education_score",121.42
"63129","zcta",2023,114.47,109.87,94.12,89.19,"education_score",116.2
"63130","zcta",2023,124.77,106.12,99.91,60.45,"education_score",123.17
"63131","zcta",2023,130.94,152.58,99.27,59.96,"education_score",143.46
"63132","zcta",2023,124.41,113.71,105.8,83.83,"education_score",124.07
"63133","zcta",2023,90.31,84.95,91.24,102.23,"education_score",88.53
"63134","zcta",2023,91.59,70.46,130.84,89.45,"education_score",77.88
"63135","zcta",2023,103.25,106.73,99.6,86.5,"education_score",104.19
"63136","zcta",2023,91.31,85.79,116.07,51.53,"education_score",83.71
"63137","zcta",2023,97.34,96.93,104.39,95.04,"education_score",95.42
"63138","zcta",2023,99.3,90.7,111.51,86.39,"education_score",93.62
"63139","zcta",2023,121.79,110.19,79.17,64.73,"education_score",124.69
"63140","zcta",2023,114.07,73.33,114.57,112.96,"education_score",101.35
"63141","zcta",2023,126.37,117.96,98.14,39.2,"education_score",127.98
"63143","zcta",2023,125.48,103.28,99.53,100.1,"education_score",122.67
"63144","zcta",2023,133.31,121.31,87.04,96.83,"education_score",138.11
"63146","zcta",2023,125.29,111.11,92.01,100.81,"education_score",126.91
