"geoid","geolevel","year","level","value"
"38601","zcta",2023,"education_score",96.5
"38603","zcta",2023,"education_score",78.67
"38606","zcta",2023,"education_score",91.09
"38610","zcta",2023,"education_score",84.07
"38611","zcta",2023,"education_score",76.98
"38614","zcta",2023,"education_score",82.65
"38617","zcta",2023,"education_score",79.81
"38618","zcta",2023,"education_score",80.24
"38619","zcta",2023,"education_score",60.6
"38620","zcta",2023,"education_score",96.89
"38621","zcta",2023,"education_score",61.18
"38622","zcta",2023,"education_score",60.9
"38623","zcta",2023,"education_score",NA
"38625","zcta",2023,"education_score",58.87
"38626","zcta",2023,"education_score",113.31
"38627","zcta",2023,"education_score",109.44
"38629","zcta",2023,"education_score",87.48
"38631","zcta",2023,"education_score",72.67
"38632","zcta",2023,"education_score",111.21
"38633","zcta",2023,"education_score",85.23
"38635","zcta",2023,"education_score",91.38
"38637","zcta",2023,"education_score",89.54
"38639","zcta",2023,"education_score",64.99
"38641","zcta",2023,"education_score",81.23
"38642","zcta",2023,"education_score",58.04
"38643","zcta",2023,"education_score",58.88
"38644","zcta",2023,"education_score",88.77
"38645","zcta",2023,"education_score",90.24
"38646","zcta",2023,"education_score",85.1
"38647","zcta",2023,"education_score",45.36
"38650","zcta",2023,"education_score",65.42
"38651","zcta",2023,"education_score",99.94
"38652","zcta",2023,"education_score",81.38
"38654","zcta",2023,"education_score",109.57
"38655","zcta",2023,"education_score",114.27
"38658","zcta",2023,"education_score",89.97
"38659","zcta",2023,"education_score",67.35
"38661","zcta",2023,"education_score",91.41
"38663","zcta",2023,"education_score",79.27
"38664","zcta",2023,"education_score",80.63
"38665","zcta",2023,"education_score",114.73
"38666","zcta",2023,"education_score",74.53
"38668","zcta",2023,"education_score",101.2
"38670","zcta",2023,"education_score",92.28
"38671","zcta",2023,"education_score",99.21
"38672","zcta",2023,"education_score",113.57
"38673","zcta",2023,"education_score",102.81
"38674","zcta",2023,"education_score",84.08
"38676","zcta",2023,"education_score",68
"38677","zcta",2023,"education_score",NA
"38680","zcta",2023,"education_score",100.76
"38683","zcta",2023,"education_score",73.06
"38685","zcta",2023,"education_score",NA
"38701","zcta",2023,"education_score",81.02
"38703","zcta",2023,"education_score",75.87
"38720","zcta",2023,"education_score",84.09
"38721","zcta",2023,"education_score",84.79
"38722","zcta",2023,"education_score",30.93
"38723","zcta",2023,"education_score",NA
"38725","zcta",2023,"education_score",81.61
"38726","zcta",2023,"education_score",55.55
"38730","zcta",2023,"education_score",95.94
"38731","zcta",2023,"education_score",NA
"38732","zcta",2023,"education_score",98.21
"38733","zcta",2023,"education_score",NA
"38736","zcta",2023,"education_score",53.67
"38737","zcta",2023,"education_score",69.8
"38738","zcta",2023,"education_score",NA
"38740","zcta",2023,"education_score",70.16
"38744","zcta",2023,"education_score",27.49
"38745","zcta",2023,"education_score",NA
"38746","zcta",2023,"education_score",72.1
"38748","zcta",2023,"education_score",80.57
"38751","zcta",2023,"education_score",82.45
"38753","zcta",2023,"education_score",87.75
"38754","zcta",2023,"education_score",69.64
"38756","zcta",2023,"education_score",90.25
"38759","zcta",2023,"education_score",77.36
"38760","zcta",2023,"education_score",88.7
"38761","zcta",2023,"education_score",89.66
"38762","zcta",2023,"education_score",88.24
"38764","zcta",2023,"education_score",101.35
"38765","zcta",2023,"education_score",NA
"38767","zcta",2023,"education_score",NA
"38768","zcta",2023,"education_score",NA
"38769","zcta",2023,"education_score",78.26
"38771","zcta",2023,"education_score",81.57
"38772","zcta",2023,"education_score",125.8
"38773","zcta",2023,"education_score",72.65
"38774","zcta",2023,"education_score",53.12
"38776","zcta",2023,"education_score",NA
"38778","zcta",2023,"education_score",65.86
"38781","zcta",2023,"education_score",99.04
"38801","zcta",2023,"education_score",87.09
"38804","zcta",2023,"education_score",98.04
"38821","zcta",2023,"education_score",96.72
"38824","zcta",2023,"education_score",73.45
"38826","zcta",2023,"education_score",115.22
"38827","zcta",2023,"education_score",71.84
"38828","zcta",2023,"education_score",72.35
"38829","zcta",2023,"education_score",88.61
"38833","zcta",2023,"education_score",72.07
"38834","zcta",2023,"education_score",86.16
"38838","zcta",2023,"education_score",72.76
"38839","zcta",2023,"education_score",NA
"38841","zcta",2023,"education_score",70
"38843","zcta",2023,"education_score",96.76
"38844","zcta",2023,"education_score",100.15
"38846","zcta",2023,"education_score",91.24
"38847","zcta",2023,"education_score",75.85
"38848","zcta",2023,"education_score",89.89
"38849","zcta",2023,"education_score",99.14
"38850","zcta",2023,"education_score",72.7
"38851","zcta",2023,"education_score",78.96
"38852","zcta",2023,"education_score",85.46
"38855","zcta",2023,"education_score",79.68
"38856","zcta",2023,"education_score",84.1
"38857","zcta",2023,"education_score",104.09
"38858","zcta",2023,"education_score",75.51
"38859","zcta",2023,"education_score",73.58
"38860","zcta",2023,"education_score",74.51
"38862","zcta",2023,"education_score",90.45
"38863","zcta",2023,"education_score",79.8
"38864","zcta",2023,"education_score",78.52
"38865","zcta",2023,"education_score",77.94
"38866","zcta",2023,"education_score",91.21
"38868","zcta",2023,"education_score",96.82
"38869","zcta",2023,"education_score",NA
"38870","zcta",2023,"education_score",109.24
"38871","zcta",2023,"education_score",61.07
"38873","zcta",2023,"education_score",90.57
"38876","zcta",2023,"education_score",84.66
"38878","zcta",2023,"education_score",70.64
"38879","zcta",2023,"education_score",NA
"38901","zcta",2023,"education_score",87.56
"38913","zcta",2023,"education_score",82
"38914","zcta",2023,"education_score",80.44
"38915","zcta",2023,"education_score",89.68
"38916","zcta",2023,"education_score",70.56
"38917","zcta",2023,"education_score",92.64
"38920","zcta",2023,"education_score",53.51
"38921","zcta",2023,"education_score",87.31
"38922","zcta",2023,"education_score",61.86
