"geoid","geolevel","year","level","value"
"27006","zcta",2023,"education_score",112.13
"27007","zcta",2023,"education_score",73.24
"27009","zcta",2023,"education_score",97.23
"27011","zcta",2023,"education_score",103.17
"27012","zcta",2023,"education_score",114.04
"27013","zcta",2023,"education_score",94.94
"27014","zcta",2023,"education_score",94.81
"27016","zcta",2023,"education_score",101.86
"27017","zcta",2023,"education_score",71.39
"27018","zcta",2023,"education_score",100.14
"27019","zcta",2023,"education_score",106.81
"27020","zcta",2023,"education_score",73.24
"27021","zcta",2023,"education_score",104.79
"27022","zcta",2023,"education_score",94.58
"27023","zcta",2023,"education_score",115.45
"27024","zcta",2023,"education_score",95.6
"27025","zcta",2023,"education_score",87.98
"27027","zcta",2023,"education_score",84.54
"27028","zcta",2023,"education_score",94.29
"27030","zcta",2023,"education_score",85.94
"27040","zcta",2023,"education_score",118.15
"27041","zcta",2023,"education_score",100.99
"27042","zcta",2023,"education_score",127.26
"27043","zcta",2023,"education_score",99.8
"27045","zcta",2023,"education_score",104.32
"27046","zcta",2023,"education_score",103.43
"27047","zcta",2023,"education_score",84.61
"27048","zcta",2023,"education_score",91.18
"27050","zcta",2023,"education_score",98.21
"27051","zcta",2023,"education_score",100.34
"27052","zcta",2023,"education_score",91.32
"27053","zcta",2023,"education_score",90.37
"27054","zcta",2023,"education_score",100.02
"27055","zcta",2023,"education_score",93.5
"27101","zcta",2023,"education_score",104.4
"27103","zcta",2023,"education_score",109.95
"27104","zcta",2023,"education_score",116.03
"27105","zcta",2023,"education_score",73.99
"27106","zcta",2023,"education_score",107.71
"27107","zcta",2023,"education_score",86.31
"27109","zcta",2023,"education_score",NA
"27110","zcta",2023,"education_score",NA
"27127","zcta",2023,"education_score",96.57
"27201","zcta",2023,"education_score",108.69
"27202","zcta",2023,"education_score",NA
"27203","zcta",2023,"education_score",71.38
"27205","zcta",2023,"education_score",84.53
"27207","zcta",2023,"education_score",99.36
"27208","zcta",2023,"education_score",107.68
"27209","zcta",2023,"education_score",71.17
"27212","zcta",2023,"education_score",NA
"27213","zcta",2023,"education_score",NA
"27214","zcta",2023,"education_score",95.57
"27215","zcta",2023,"education_score",108.23
"27217","zcta",2023,"education_score",76.43
"27229","zcta",2023,"education_score",68.75
"27231","zcta",2023,"education_score",107.26
"27233","zcta",2023,"education_score",111.32
"27235","zcta",2023,"education_score",108.74
"27239","zcta",2023,"education_score",92.05
"27242","zcta",2023,"education_score",93.61
"27243","zcta",2023,"education_score",116.13
"27244","zcta",2023,"education_score",100.25
"27247","zcta",2023,"education_score",84.02
"27248","zcta",2023,"education_score",77.95
"27249","zcta",2023,"education_score",105.66
"27252","zcta",2023,"education_score",83.12
"27253","zcta",2023,"education_score",99.99
"27256","zcta",2023,"education_score",NA
"27258","zcta",2023,"education_score",94.74
"27259","zcta",2023,"education_score",NA
"27260","zcta",2023,"education_score",64.85
"27262","zcta",2023,"education_score",93.16
"27263","zcta",2023,"education_score",81.14
"27265","zcta",2023,"education_score",110.27
"27268","zcta",2023,"education_score",NA
"27278","zcta",2023,"education_score",113.56
"27281","zcta",2023,"education_score",92.4
"27282","zcta",2023,"education_score",118.36
"27283","zcta",2023,"education_score",105.15
"27284","zcta",2023,"education_score",108.06
"27288","zcta",2023,"education_score",85.6
"27291","zcta",2023,"education_score",137.25
"27292","zcta",2023,"education_score",83.5
"27295","zcta",2023,"education_score",96.69
"27298","zcta",2023,"education_score",84.85
"27299","zcta",2023,"education_score",101.28
"27301","zcta",2023,"education_score",110.44
"27302","zcta",2023,"education_score",106.02
"27305","zcta",2023,"education_score",66
"27306","zcta",2023,"education_score",89.17
"27310","zcta",2023,"education_score",130.03
"27311","zcta",2023,"education_score",78.83
"27312","zcta",2023,"education_score",120.92
"27313","zcta",2023,"education_score",109.07
"27314","zcta",2023,"education_score",110.36
"27315","zcta",2023,"education_score",75.16
"27316","zcta",2023,"education_score",86.85
"27317","zcta",2023,"education_score",83.11
"27320","zcta",2023,"education_score",84.63
"27325","zcta",2023,"education_score",58.64
"27326","zcta",2023,"education_score",89.33
"27330","zcta",2023,"education_score",89.03
"27332","zcta",2023,"education_score",89.94
"27340","zcta",2023,"education_score",NA
"27341","zcta",2023,"education_score",93.84
"27342","zcta",2023,"education_score",NA
"27343","zcta",2023,"education_score",103.68
"27344","zcta",2023,"education_score",70.44
"27349","zcta",2023,"education_score",97.5
"27350","zcta",2023,"education_score",87.55
"27351","zcta",2023,"education_score",101.99
"27355","zcta",2023,"education_score",79.54
"27356","zcta",2023,"education_score",87.42
"27357","zcta",2023,"education_score",106.1
"27358","zcta",2023,"education_score",111.43
"27360","zcta",2023,"education_score",84.76
"27370","zcta",2023,"education_score",82.44
"27371","zcta",2023,"education_score",96.71
"27374","zcta",2023,"education_score",66.1
"27376","zcta",2023,"education_score",107.71
"27377","zcta",2023,"education_score",102.09
"27379","zcta",2023,"education_score",92.18
"27401","zcta",2023,"education_score",92.15
"27403","zcta",2023,"education_score",97.88
"27405","zcta",2023,"education_score",81.9
"27406","zcta",2023,"education_score",94.41
"27407","zcta",2023,"education_score",99.92
"27408","zcta",2023,"education_score",124.73
"27409","zcta",2023,"education_score",112.6
"27410","zcta",2023,"education_score",118.3
"27411","zcta",2023,"education_score",NA
"27412","zcta",2023,"education_score",NA
"27455","zcta",2023,"education_score",119.78
"27501","zcta",2023,"education_score",87.09
"27502","zcta",2023,"education_score",126.01
"27503","zcta",2023,"education_score",NA
"27504","zcta",2023,"education_score",99.01
"27505","zcta",2023,"education_score",89.45
"27506","zcta",2023,"education_score",NA
"27507","zcta",2023,"education_score",82.3
"27508","zcta",2023,"education_score",99.16
"27509","zcta",2023,"education_score",NA
"27510","zcta",2023,"education_score",112.56
"27511","zcta",2023,"education_score",115.76
"27513","zcta",2023,"education_score",128.86
"27514","zcta",2023,"education_score",112.62
"27516","zcta",2023,"education_score",121.81
"27517","zcta",2023,"education_score",127.27
"27518","zcta",2023,"education_score",130.36
"27519","zcta",2023,"education_score",130.55
"27520","zcta",2023,"education_score",106.44
"27521","zcta",2023,"education_score",80.68
"27522","zcta",2023,"education_score",98.95
"27523","zcta",2023,"education_score",132.26
"27524","zcta",2023,"education_score",87.41
"27525","zcta",2023,"education_score",98.13
"27526","zcta",2023,"education_score",113.29
"27527","zcta",2023,"education_score",112.77
"27529","zcta",2023,"education_score",111.14
"27530","zcta",2023,"education_score",92.26
"27531","zcta",2023,"education_score",NA
"27533","zcta",2023,"education_score",NA
"27534","zcta",2023,"education_score",101.91
"27536","zcta",2023,"education_score",79.16
"27537","zcta",2023,"education_score",89.88
"27539","zcta",2023,"education_score",120.7
"27540","zcta",2023,"education_score",122.82
"27541","zcta",2023,"education_score",103.62
"27542","zcta",2023,"education_score",92.39
"27544","zcta",2023,"education_score",97.17
"27545","zcta",2023,"education_score",103.87
"27546","zcta",2023,"education_score",97.09
"27549","zcta",2023,"education_score",92.54
"27551","zcta",2023,"education_score",104.37
"27553","zcta",2023,"education_score",98.48
"27555","zcta",2023,"education_score",100.3
