"geoid","geolevel","year","level","value"
"18950","zcta",2023,"education_score",NA
"07001","zcta",2023,"education_score",106.77
"07002","zcta",2023,"education_score",112.23
"07003","zcta",2023,"education_score",123.86
"07004","zcta",2023,"education_score",140.83
"07005","zcta",2023,"education_score",128.56
"07006","zcta",2023,"education_score",132.31
"07008","zcta",2023,"education_score",99.02
"07009","zcta",2023,"education_score",138.58
"07010","zcta",2023,"education_score",107.02
"07011","zcta",2023,"education_score",94.76
"07012","zcta",2023,"education_score",119.17
"07013","zcta",2023,"education_score",116.96
"07014","zcta",2023,"education_score",132.62
"07016","zcta",2023,"education_score",138.48
"07017","zcta",2023,"education_score",98.9
"07018","zcta",2023,"education_score",97.11
"07020","zcta",2023,"education_score",141.5
"07021","zcta",2023,"education_score",161.08
"07022","zcta",2023,"education_score",80.11
"07023","zcta",2023,"education_score",142.5
"07024","zcta",2023,"education_score",131.57
"07026","zcta",2023,"education_score",93.16
"07027","zcta",2023,"education_score",120.96
"07028","zcta",2023,"education_score",155.16
"07029","zcta",2023,"education_score",114.4
"07030","zcta",2023,"education_score",147.71
"07031","zcta",2023,"education_score",116.15
"07032","zcta",2023,"education_score",99.17
"07033","zcta",2023,"education_score",117.07
"07034","zcta",2023,"education_score",124.74
"07035","zcta",2023,"education_score",120.66
"07036","zcta",2023,"education_score",99.22
"07039","zcta",2023,"education_score",140.33
"07040","zcta",2023,"education_score",143.09
"07041","zcta",2023,"education_score",145.97
"07042","zcta",2023,"education_score",135.13
"07043","zcta",2023,"education_score",156.05
"07044","zcta",2023,"education_score",140.52
"07045","zcta",2023,"education_score",141.03
"07046","zcta",2023,"education_score",146.32
"07047","zcta",2023,"education_score",97.61
"07050","zcta",2023,"education_score",85.24
"07052","zcta",2023,"education_score",122.94
"07054","zcta",2023,"education_score",126.43
"07055","zcta",2023,"education_score",60.87
"07057","zcta",2023,"education_score",110.81
"07058","zcta",2023,"education_score",135.49
"07059","zcta",2023,"education_score",134.56
"07060","zcta",2023,"education_score",72.28
"07062","zcta",2023,"education_score",90.3
"07063","zcta",2023,"education_score",67.9
"07064","zcta",2023,"education_score",122.64
"07065","zcta",2023,"education_score",114.13
"07066","zcta",2023,"education_score",121.66
"07067","zcta",2023,"education_score",118.08
"07068","zcta",2023,"education_score",146.86
"07069","zcta",2023,"education_score",138.35
"07070","zcta",2023,"education_score",129.12
"07071","zcta",2023,"education_score",115.86
"07072","zcta",2023,"education_score",117.03
"07073","zcta",2023,"education_score",110.71
"07074","zcta",2023,"education_score",97.98
"07075","zcta",2023,"education_score",131.95
"07076","zcta",2023,"education_score",137.58
"07077","zcta",2023,"education_score",119.13
"07078","zcta",2023,"education_score",159.88
"07079","zcta",2023,"education_score",145.35
"07080","zcta",2023,"education_score",122.28
"07081","zcta",2023,"education_score",130.99
"07082","zcta",2023,"education_score",146.24
"07083","zcta",2023,"education_score",118.97
