"geoid","geolevel","year","level","value"
"02802","zcta",2023,"education_score",127.38
"02804","zcta",2023,"education_score",121.49
"02806","zcta",2023,"education_score",138.97
"02807","zcta",2023,"education_score",110.34
"02808","zcta",2023,"education_score",115.27
"02809","zcta",2023,"education_score",120.76
"02812","zcta",2023,"education_score",133.91
"02813","zcta",2023,"education_score",111.37
"02814","zcta",2023,"education_score",120.6
"02815","zcta",2023,"education_score",NA
"02816","zcta",2023,"education_score",113.02
"02817","zcta",2023,"education_score",112.1
"02818","zcta",2023,"education_score",128.65
"02822","zcta",2023,"education_score",110.73
"02823","zcta",2023,"education_score",NA
"02824","zcta",2023,"education_score",125.83
"02825","zcta",2023,"education_score",113.28
"02826","zcta",2023,"education_score",106.82
"02827","zcta",2023,"education_score",122.57
"02828","zcta",2023,"education_score",121.63
"02829","zcta",2023,"education_score",NA
"02830","zcta",2023,"education_score",111.77
"02831","zcta",2023,"education_score",124.26
"02832","zcta",2023,"education_score",114.55
"02833","zcta",2023,"education_score",96.76
"02835","zcta",2023,"education_score",144.42
"02836","zcta",2023,"education_score",NA
"02837","zcta",2023,"education_score",129.1
"02838","zcta",2023,"education_score",118.04
"02839","zcta",2023,"education_score",116.98
"02840","zcta",2023,"education_score",122.8
"02841","zcta",2023,"education_score",NA
"02842","zcta",2023,"education_score",119.64
"02852","zcta",2023,"education_score",128.72
"02857","zcta",2023,"education_score",121.92
"02858","zcta",2023,"education_score",110.06
"02859","zcta",2023,"education_score",116.62
"02860","zcta",2023,"education_score",87.32
"02861","zcta",2023,"education_score",100.16
"02863","zcta",2023,"education_score",43.8
"02864","zcta",2023,"education_score",115.83
"02865","zcta",2023,"education_score",122.3
"02871","zcta",2023,"education_score",126.86
"02872","zcta",2023,"education_score",NA
"02873","zcta",2023,"education_score",NA
"02874","zcta",2023,"education_score",130.54
"02875","zcta",2023,"education_score",NA
"02876","zcta",2023,"education_score",NA
"02878","zcta",2023,"education_score",114.52
"02879","zcta",2023,"education_score",128.84
"02881","zcta",2023,"education_score",NA
"02882","zcta",2023,"education_score",131.5
"02885","zcta",2023,"education_score",111.97
"02886","zcta",2023,"education_score",113.82
"02888","zcta",2023,"education_score",111.62
"02889","zcta",2023,"education_score",106.38
"02891","zcta",2023,"education_score",117.81
"02892","zcta",2023,"education_score",132.14
"02893","zcta",2023,"education_score",103.81
"02894","zcta",2023,"education_score",129.71
"02895","zcta",2023,"education_score",85.34
