"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"29001","zcta",2023,90.51,83.88,99.09,108.59,"education_score",86.94
"29003","zcta",2023,72.1,105.42,92.9,101.77,"education_score",81.18
"29006","zcta",2023,77.87,93.84,108.3,95.63,"education_score",79.24
"29009","zcta",2023,87.19,67.44,105.07,102.14,"education_score",78.94
"29010","zcta",2023,83.76,81.45,101.65,95.45,"education_score",80.89
"29014","zcta",2023,87.52,80.1,93.5,103.34,"education_score",85.06
"29015","zcta",2023,93.61,90.05,72.78,110.82,"education_score",96.17
"29016","zcta",2023,115.65,108.95,108.59,74.78,"education_score",114.16
"29018","zcta",2023,91.56,87.03,106.36,108.52,"education_score",87.73
"29020","zcta",2023,101.44,90.76,98.13,86.53,"education_score",98.41
"29030","zcta",2023,111.13,93.63,81.97,104.05,"education_score",110.74
"29031","zcta",2023,79.33,73.37,95.2,107.95,"education_score",75.2
"29032","zcta",2023,89.37,93.76,99.32,94.64,"education_score",88.68
"29033","zcta",2023,111.12,93.63,98.47,101,"education_score",107.46
"29036","zcta",2023,117.17,120.01,107.88,86.47,"education_score",118.9
"29037","zcta",2023,105.95,87.26,96.82,103.78,"education_score",100.58
"29038","zcta",2023,87.66,82.04,105.25,109.55,"education_score",82.97
"29039","zcta",2023,103.14,67.25,70.95,104.6,"education_score",97.53
"29040","zcta",2023,98.81,81.88,105.92,98.21,"education_score",91.95
"29042","zcta",2023,75.44,67.13,119.51,106.9,"education_score",68.09
"29044","zcta",2023,98.18,86.57,79.92,103.72,"education_score",97.96
"29045","zcta",2023,107.25,88.02,109.48,82.19,"education_score",100.05
"29046","zcta",2023,NA,NA,NA,NA,"education_score",NA
"29047","zcta",2023,89.96,94.02,96.33,110.25,"education_score",90.35
"29048","zcta",2023,85.69,139.86,101.74,104.51,"education_score",99.89
"29051","zcta",2023,79.63,100.25,62.79,133.53,"education_score",90.46
"29052","zcta",2023,105.92,79.65,132.69,112.93,"education_score",92.47
"29053","zcta",2023,79.38,106.28,115.57,92.18,"education_score",82.17
"29054","zcta",2023,111.2,111.49,101.25,99.88,"education_score",112.15
"29055","zcta",2023,81.78,77.32,114.07,104.57,"education_score",74.9
"29056","zcta",2023,98.2,67.74,73.68,102.6,"education_score",93.12
"29058","zcta",2023,98.03,73.57,127.31,103,"education_score",85.04
"29059","zcta",2023,90.74,87.76,108.67,100.38,"education_score",87.13
"29061","zcta",2023,99.15,102.24,96.45,99.65,"education_score",100.37
"29062","zcta",2023,NA,NA,NA,NA,"education_score",NA
"29063","zcta",2023,116.36,107.42,116.99,74.87,"education_score",112.38
"29065","zcta",2023,112.5,97.12,104.63,113.25,"education_score",107.4
"29067","zcta",2023,82.14,85.49,102.07,89.68,"education_score",80.16
"29069","zcta",2023,97.18,69.32,101.71,104.19,"education_score",87.44
"29070","zcta",2023,92.3,104.03,99.53,86.74,"education_score",94.41
"29072","zcta",2023,116.32,115.18,114.01,64.42,"education_score",115.27
"29073","zcta",2023,99.37,104.78,111.92,80.45,"education_score",98.06
"29074","zcta",2023,111.35,83.86,48.51,112.48,"education_score",113.61
"29075","zcta",2023,106.03,126.82,83.57,101.3,"education_score",116.51
"29078","zcta",2023,101.75,99.14,108.82,91.2,"education_score",99.12
"29079","zcta",2023,NA,NA,NA,NA,"education_score",NA
"29080","zcta",2023,93.45,90.73,101.48,107.43,"education_score",92.37
"29081","zcta",2023,100.75,101.69,62.07,115.54,"education_score",108.7
"29082","zcta",2023,104.27,55.82,71.67,122.26,"education_score",94.26
"29101","zcta",2023,83.59,86.67,92.01,103.52,"education_score",84.09
"29102","zcta",2023,86.96,72.55,94.91,96.59,"education_score",81.82
"29104","zcta",2023,81.67,70.02,107.39,107.86,"education_score",75.05
"29105","zcta",2023,89.36,94.49,85.6,109.89,"education_score",91.87
"29107","zcta",2023,86.56,93.48,110.14,109.3,"education_score",85.36
"29108","zcta",2023,86.06,83.71,108.22,80.91,"education_score",82.31
"29111","zcta",2023,98.68,86.88,97.28,105.22,"education_score",95.52
"29112","zcta",2023,85.25,89.27,81.57,96.09,"education_score",87.76
"29113","zcta",2023,76.03,93.08,111.17,108.5,"education_score",77.59
"29114","zcta",2023,80.84,93.37,101.8,109.19,"education_score",81.79
"29115","zcta",2023,82.13,79.75,107.66,76.3,"education_score",78.02
"29117","zcta",2023,NA,NA,NA,NA,"education_score",NA
"29118","zcta",2023,101.76,86.46,105.27,88.07,"education_score",96.64
"29122","zcta",2023,NA,NA,NA,NA,"education_score",NA
"29123","zcta",2023,81.16,88.82,105.75,102.52,"education_score",80.08
"29125","zcta",2023,98.25,70.21,85.94,103.19,"education_score",91.61
"29126","zcta",2023,102.27,90.3,111.53,109.51,"education_score",97
"29127","zcta",2023,98.16,96.96,96.3,92.8,"education_score",98.02
"29128","zcta",2023,80.58,80.45,86.54,112.59,"education_score",80.12
"29129","zcta",2023,90.74,106.78,103.18,98.76,"education_score",94.14
"29130","zcta",2023,94.91,79.14,70.57,93.56,"education_score",94.13
"29133","zcta",2023,76.51,91.54,131.33,105.61,"education_score",71.95
"29135","zcta",2023,98.19,97.32,91.39,104.1,"education_score",99.47
"29137","zcta",2023,83.79,87.72,111.07,107.56,"education_score",80.68
"29138","zcta",2023,76.41,92.48,102.65,86.82,"education_score",77.8
"29142","zcta",2023,96.81,104.92,108.46,107.16,"education_score",98.12
"29145","zcta",2023,54.72,105.78,140.33,114.28,"education_score",58.16
"29146","zcta",2023,97.48,94.28,94.09,111.25,"education_score",96.91
"29148","zcta",2023,84.33,80.62,84.57,106.96,"education_score",84.58
"29150","zcta",2023,98.8,86.1,112.92,58.83,"education_score",91.52
"29152","zcta",2023,107.34,153.25,112.8,109.55,"education_score",120.37
"29153","zcta",2023,99.17,116.95,101.2,82.63,"education_score",103.79
"29154","zcta",2023,107.89,96.09,101.86,80.53,"education_score",104.24
"29160","zcta",2023,98.16,96.64,98.86,96.25,"education_score",96.82
"29161","zcta",2023,93.71,102.47,84.94,99.9,"education_score",97.86
"29162","zcta",2023,73.29,83.17,97.97,107.29,"education_score",73.42
"29163","zcta",2023,103.27,95.91,97.45,107.3,"education_score",100.46
"29164","zcta",2023,96.25,90.78,101.02,105.33,"education_score",94.1
"29166","zcta",2023,71.19,89.05,89.48,109.19,"education_score",75.91
"29168","zcta",2023,96.03,87.2,92.31,110.46,"education_score",93.98
"29169","zcta",2023,106.11,90.54,91.28,92.22,"education_score",104.38
"29170","zcta",2023,106.44,96.02,96.98,89.39,"education_score",104.2
"29172","zcta",2023,99.69,92.53,109.44,99.6,"education_score",95.1
"29175","zcta",2023,90.58,88.81,100.73,112.48,"education_score",88.32
"29178","zcta",2023,89.28,119.83,104.24,102.64,"education_score",96.46
"29180","zcta",2023,91.79,91.44,103.04,86.94,"education_score",89.56
"29201","zcta",2023,112.56,87.88,132.64,94.56,"education_score",103.08
"29203","zcta",2023,91.24,84.45,107.08,51.46,"education_score",85.75
"29204","zcta",2023,106.46,98.13,99.96,65.45,"education_score",104.84
"29205","zcta",2023,123.84,111.38,109.1,89.49,"education_score",123.04
"29206","zcta",2023,128.26,112.19,105.64,76.24,"education_score",126.74
"29207","zcta",2023,NA,NA,NA,NA,"education_score",NA
"29208","zcta",2023,NA,NA,NA,NA,"education_score",NA
"29209","zcta",2023,110.19,102.39,110.44,83.51,"education_score",107.14
"29210","zcta",2023,103.1,90.75,93.24,81.94,"education_score",100.54
"29212","zcta",2023,113,105.67,101.77,73.48,"education_score",112.2
"29223","zcta",2023,104.18,92.68,110.06,76.13,"education_score",99.18
"29225","zcta",2023,NA,NA,NA,NA,"education_score",NA
"29229","zcta",2023,114.8,103.09,124.65,74.66,"education_score",108.53
"29301","zcta",2023,93.9,100.19,105.24,71.88,"education_score",94.06
"29302","zcta",2023,108.22,103.93,106.34,82.25,"education_score",107.13
"29303","zcta",2023,74.39,87.88,111.86,85.04,"education_score",73.86
"29306","zcta",2023,86.66,92.18,114.24,83.74,"education_score",83.85
"29307","zcta",2023,100.59,99.42,94.4,85.27,"education_score",101.71
"29316","zcta",2023,109.41,97.01,109.16,87.85,"education_score",104.56
"29320","zcta",2023,116.9,104.64,100.72,111.13,"education_score",115.02
"29321","zcta",2023,72.3,102.09,134,107.27,"education_score",71.66
"29322","zcta",2023,98.48,108.46,103.71,97.06,"education_score",100.64
"29323","zcta",2023,100.48,99.6,108.17,89.66,"education_score",97.97
"29324","zcta",2023,NA,NA,NA,NA,"education_score",NA
"29325","zcta",2023,89.61,72.21,102.04,97.92,"education_score",83.33
"29329","zcta",2023,121.36,65.36,169.45,108.09,"education_score",92.67
"29330","zcta",2023,79.36,88.19,87.62,101.55,"education_score",81.97
"29331","zcta",2023,NA,NA,NA,NA,"education_score",NA
"29332","zcta",2023,91.02,85.17,77.7,107.88,"education_score",92.17
"29333","zcta",2023,133.88,104.64,96.68,109.55,"education_score",132.18
"29334","zcta",2023,110.19,113.87,116.95,89.46,"education_score",109.25
"29335","zcta",2023,85.91,94.85,85.22,109.55,"education_score",89.24
"29338","zcta",2023,NA,NA,NA,NA,"education_score",NA
"29340","zcta",2023,88.06,77.82,104.97,83.77,"education_score",81.96
"29341","zcta",2023,100.14,88.37,100.75,93.74,"education_score",96.34
"29346","zcta",2023,90.7,104.64,137.15,112.48,"education_score",85.93
"29349","zcta",2023,96.55,97.32,102.8,73.3,"education_score",95.38
"29351","zcta",2023,98.01,82.08,73.45,111.02,"education_score",97.2
"29353","zcta",2023,85.48,83.95,79.06,107.3,"education_score",87.16
"29355","zcta",2023,80.46,79.71,74.63,100.3,"education_score",83.26
"29356","zcta",2023,103.81,110.77,92.33,101.27,"education_score",108.13
"29360","zcta",2023,79.85,85.53,106.33,80.88,"education_score",77.7
"29364","zcta",2023,79.43,90.95,92.07,117.63,"education_score",81.29
"29365","zcta",2023,98.83,96.6,110.02,101.02,"education_score",96.17
"29368","zcta",2023,123.55,79.09,67.5,110.66,"education_score",118.92
"29369","zcta",2023,105.55,107.82,112.28,93.89,"education_score",104.69
"29370","zcta",2023,112.43,85.18,69.62,109.55,"education_score",110.78
"29372","zcta",2023,85.63,89.51,94.53,106.61,"education_score",86.49
"29373","zcta",2023,88.28,104.64,99.38,121.71,"education_score",90.58
"29374","zcta",2023,101.26,101.05,86.06,107.09,"education_score",103.68
"29375","zcta",2023,124.65,109.03,109.58,109.55,"education_score",121.17
"29376","zcta",2023,106.34,91.25,94.8,98.43,"education_score",102.7
"29377","zcta",2023,14.81,104.64,116.27,105.16,"education_score",31.55
"29378","zcta",2023,-45.96,104.64,48.51,112.48,"education_score",-3.81
"29379","zcta",2023,81.07,88.3,93.46,93.88,"education_score",81.84
"29384","zcta",2023,92.99,89.57,78.01,107.35,"education_score",95.41
"29385","zcta",2023,88.93,94.04,109.2,102.52,"education_score",87.51
"29388","zcta",2023,98.94,103.93,99.02,99.59,"education_score",100.57
"29401","zcta",2023,123.15,97.42,104.83,96.83,"education_score",119.13
"29403","zcta",2023,115.18,105.5,97.04,81.01,"education_score",115.94
"29404","zcta",2023,113.93,83.38,92.93,108.29,"education_score",107.09
"29405","zcta",2023,95.65,103.7,87.56,72,"education_score",99.27
"29406","zcta",2023,83.38,91.64,108.82,74.64,"education_score",82.36
"29407","zcta",2023,119.51,107.81,90.28,83.55,"education_score",120.58
"29409","zcta",2023,NA,NA,NA,NA,"education_score",NA
"29410","zcta",2023,111.34,111.77,106.19,98.06,"education_score",111.98
"29412","zcta",2023,121.43,113.08,95.47,95.09,"education_score",123.21
"29414","zcta",2023,123.92,110.7,93.74,76.2,"education_score",124.16
"29418","zcta",2023,89.89,98.61,93.5,85,"education_score",92.27
"29420","zcta",2023,92.29,102.14,110.57,92.38,"education_score",92.83
"29424","zcta",2023,NA,NA,NA,NA,"education_score",NA
"29426","zcta",2023,103.53,98.78,124.38,120.58,"education_score",96.94
"29429","zcta",2023,116.84,103.23,87.05,99.77,"education_score",117.52
"29431","zcta",2023,84.88,97.84,107.74,101.12,"education_score",85.29
"29432","zcta",2023,100.37,72.94,95.7,109.58,"education_score",92.52
"29434","zcta",2023,16.4,112.07,120.57,114.81,"education_score",35.72
"29435","zcta",2023,81.85,63.23,121.68,109.84,"education_score",69.44
"29436","zcta",2023,93.54,109.21,89.05,104.58,"education_score",99.08
