"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"24701","zcta",2023,93.17,82.58,94.12,79.47,"education_score",90.02
"24712","zcta",2023,114.11,81.66,146.14,105.47,"education_score",99.03
"24714","zcta",2023,118.84,79.38,51.18,111.02,"education_score",120.71
"24715","zcta",2023,91.8,104.64,49.66,112.48,"education_score",103.66
"24716","zcta",2023,98.68,104.64,48.51,105.16,"education_score",107.62
"24719","zcta",2023,122.85,104.64,168.23,105.16,"education_score",105.44
"24724","zcta",2023,NA,NA,NA,NA,"education_score",NA
"24726","zcta",2023,81.23,94.6,80.5,119.35,"education_score",86.5
"24729","zcta",2023,NA,NA,NA,NA,"education_score",NA
"24731","zcta",2023,NA,NA,NA,NA,"education_score",NA
"24733","zcta",2023,117.91,104.64,58.41,111.02,"education_score",123.85
"24736","zcta",2023,54.58,55.17,116.48,131.89,"education_score",47.4
"24737","zcta",2023,33.87,79.26,134.09,105.64,"education_score",35.78
"24738","zcta",2023,NA,NA,NA,NA,"education_score",NA
"24740","zcta",2023,103.5,78.1,99.24,82.2,"education_score",95.72
"24747","zcta",2023,78.68,89.37,96.43,96.97,"education_score",79.05
"24801","zcta",2023,NA,NA,NA,NA,"education_score",NA
"24808","zcta",2023,38.05,68.91,107.04,123.34,"education_score",40.87
"24811","zcta",2023,105.27,108.17,48.51,105.16,"education_score",115.96
"24813","zcta",2023,116.86,76.37,48.51,117.32,"education_score",114.24
"24815","zcta",2023,75.97,55.17,51.89,112.39,"education_score",76.71
"24816","zcta",2023,NA,NA,NA,NA,"education_score",NA
"24817","zcta",2023,77.55,75.87,180.23,105.16,"education_score",58.89
"24818","zcta",2023,60.93,101.27,95.29,99.06,"education_score",68.72
"24822","zcta",2023,114.61,119.71,83.87,102.63,"education_score",121.51
"24823","zcta",2023,60.51,104.64,48.51,112.82,"education_score",78.24
"24826","zcta",2023,NA,NA,NA,NA,"education_score",NA
"24827","zcta",2023,73.7,80.49,80.13,117.55,"education_score",76.47
"24828","zcta",2023,68.35,104.64,97.5,105.69,"education_score",75.48
"24830","zcta",2023,NA,NA,NA,NA,"education_score",NA
"24831","zcta",2023,94.98,104.64,83.6,108.09,"education_score",99.74
"24834","zcta",2023,86.29,104.81,89.83,103.46,"education_score",90.93
"24836","zcta",2023,95.48,104.64,111.28,97.84,"education_score",94.61
"24839","zcta",2023,48.42,55.17,85.45,116.65,"education_score",49.87
"24843","zcta",2023,NA,NA,NA,NA,"education_score",NA
"24844","zcta",2023,63.75,101.73,91.58,105.04,"education_score",71.9
"24845","zcta",2023,101.79,104.64,113.79,111.92,"education_score",98.75
