"GEOID","B01001_001","B25001_001","B26001_001","pctWomenLTHS","pctpeoplewithlessthan9thgrade","pctpeoplewithatleasthseducation","pctAdults4yrDegree","medIncomeAdults4yrDegree","medEducatorIncome","pctProfessionalsInEducation","pctEnrolledSchool","pctAdultsInHigherEd","totalPrimarySecondaryVocationalSchools","preKProgramPerChild","education_score","education_rnk","attainment_score","quality_education_score","enrollment_score","education_access_score","education_state_rnk","NAME"
"01001",58761,24457,551,16.946798166412,3.10540459838758,90.4026077436051,27.498610956773,58.909,44.936,16.2596452151778,24.1418683905421,5.93278966897969,21,5.06186726659168,110.75,74.0284974093264,89.67,110.18,102.93,94.83,87.6923076923077,"Autauga County, Alabama"
"01003",233420,125113,3401,15.2074857607811,2.81340182730419,91.5993102705033,30.3911446333087,57.032,48.533,14.4031784418725,21.0861774856856,4.4442372055913,5,0.796431984708506,114.5,78.7888601036269,84.32,113.85,91.77,100.73,89.2307692307692,"Baldwin County, Alabama"
"01005",24877,11673,2988,23.1025161156166,10.2121640735502,76.4922206506365,11.0209875291493,53.984,45.948,30.2660270388138,21.7533407802739,4.91175329712956,12,4.74683544303798,71.91,6.05569948186529,133.52,90.8,94.56,99.64,6.15384615384615,"Barbour County, Alabama"
"01007",22251,9046,1421,20.0452488687783,8.92307692307692,78.8634222919937,10.1961678832117,29.571,31.696,21.4439655172414,20.7393715341959,3.04565762231666,13,7.49063670411985,72.43,6.31476683937824,125.77,66.09,87.41,101.04,7.69230769230769,"Bibb County, Alabama"
"01009",59077,24677,612,19.2746701206185,8.99135164269789,81.7551510400078,13.6158899655044,56.143,54.635,27.5513478818999,22.2909186443647,4.29937300810299,29,5.08474576271186,85.56,22.6683937823834,119.73,103.65,94.33,90.37,47.6923076923077,"Blount County, Alabama"
"01011",10328,4541,738,23.9163691993881,11.9759642258245,73.3789826718837,8.59806206304428,38.306,30.417,19.8005698005698,25.1050210042008,5.14679662427196,1,4.16666666666667,69.08,4.33937823834197,142.32,74.62,103.3,105.38,1.53846153846154,"Bullock County, Alabama"
"01013",18981,9835,335,15.2036857419981,6.13598673300166,87.5923413236846,12.1041567776497,49.625,31.691,22.8098290598291,21.7295993862005,4.39808834926376,10,5.76923076923077,89.31,29.630829015544,104.58,82.49,93.21,101.49,56.9230769230769,"Butler County, Alabama"
"01015",116162,53167,3689,16.5651732637379,6.54749084643549,85.0717715473008,17.4459115581621,51.623,40.265,20.0486860994944,24.652221866439,8.15111000041651,5,0.907441016333938,96.03,43.3613989637306,106.77,95.15,109.75,100.81,66.1538461538462,"Calhoun County, Alabama"
"01017",34612,16427,638,16.7721518987342,8.18829434145552,83.4574597263823,11.7610590423398,43.036,34.199,21.3380489242558,20.3261520047876,5.41947657150844,3,1.92678227360308,82.07,17.2927461139896,114.73,80.53,92.37,102.66,30.7692307692308,"Chambers County, Alabama"
"01019",25069,14687,298,19.0137987012987,8.73508610916158,81.9251741078659,13.631224499828,51.237,51.317,27.1714192068174,19.6343467543139,5.26365437222903,13,8.66551126516464,80.35,15.0259067357513,118.82,96.7,90.3,101.88,23.0769230769231,"Cherokee County, Alabama"
"01021",45140,19546,459,19.8543163697214,8.80786696723186,82.1621091835735,12.496006969653,42.938,43.456,20.40262384076,22.4922404874123,4.17126462149636,21,5.29100529100529,81.27,16.1593264248705,120.18,89.85,94.5,94.99,26.9230769230769,"Chilton County, Alabama"
"01023",12669,7138,171,21.7912834866054,9.84312859036677,82.3906319045515,11.8998323967268,41.791,36.985,20.5533596837945,20.5373183080189,5.12241054613936,2,7.49063670411985,78.47,12.240932642487,124,82.81,92.14,107.19,18.4615384615385,"Choctaw County, Alabama"
"01025",23058,11733,373,20.4868154158215,7.96128629409928,81.3924445832032,12.9844853472724,55.59,34.327,26.8863833477884,20.7400413631868,4.48795977771897,2,2.50941028858218,77.25,10.6865284974093,120.12,85.59,91.03,103.63,15.3846153846154,"Clarke County, Alabama"
"01027",14209,7040,262,21.2184146763586,6.65472993136377,83.3383069730429,11.6913001150544,58.706,47.037,21.1267605633803,21.2697718492601,5.03298934190492,2,7.32600732600733,86.2,23.6075129533679,117.16,106.38,93.69,107.07,51.5384615384615,"Clay County, Alabama"
"01029",15144,6818,169,23.2427055702918,8.25023518344309,82.549388523048,15.3103094546076,56.731,37.361,18.4417040358744,20.6724526754596,2.72297407467797,13,8.24742268041237,83.26,19.0738341968912,120.89,98.92,86.43,101.58,35.3846153846154,"Cleburne County, Alabama"
"01031",53559,24155,711,19.3830762817841,6.07287449392713,86.6205274100011,20.25728190956,59.511,47.912,17.4971164936563,25.1108882632005,6.66110222345876,2,1.23915737298637,99.61,51.360103626943,105.62,112,107.12,102.73,75.3846153846154,"Coffee County, Alabama"
"01033",57270,27709,498,14.2224369815575,6.20790988122934,86.3817803354965,16.7928819022807,51.849,29.954,16.6834297208951,20.9695684216203,4.04467761042478,1,0.521920668058455,94.16,39.0867875647668,102.51,89.87,90.48,102.77,61.5384615384615,"Colbert County, Alabama"
"01035",11576,6451,58,17.5801011804384,3.49558577905035,89.4297303746123,12.1198957428323,56.875,48.393,26.2975778546713,20.7383374254647,3.62522073335411,13,13.7931034482759,94.89,40.5440414507772,100.61,100.1,88.86,105.54,64.6153846153846,"Conecuh County, Alabama"
"01037",10329,6045,360,16.8891170431211,6.44800596347372,83.4886321282147,10.3448275862069,42.132,56.071,22.6436781609195,15.920987654321,1.94552529182879,2,0,83.52,19.5272020725389,112.75,97.97,72.93,101.84,38.4615384615385,"Coosa County, Alabama"
"01039",37542,18644,722,21.7503549761198,7.34298786251749,85.7564184973721,15.2004093467508,48.929,43.638,25.2938615585546,20.8906748871518,3.37330603490299,21,5.93723494486853,83.61,19.6567357512953,114.05,89.83,88.6,95.46,40,"Covington County, Alabama"
"01041",13205,6553,248,17.1323529411765,8.4936598163533,82.0725841714036,15.6897398134512,62.031,31.25,22.9688454489921,21.0325791151543,2.92304818827045,1,3.50877192982456,84.94,21.6321243523316,115.1,93.02,87.81,104.91,44.6153846153846,"Crenshaw County, Alabama"
"01043",88284,39182,1210,19.2141105254918,6.76527958387516,84.6131339401821,16.6967877339241,49.187,42.94,26.3144611760747,22.4064208607879,4.96076310900369,5,1.54499806875241,87.65,26.7163212435233,110.92,88.27,96.27,101.27,55.3846153846154,"Cullman County, Alabama"
