"GEOID","B01001_001","B25001_001","B26001_001","pctWomenLTHS","pctpeoplewithlessthan9thgrade","pctpeoplewithatleasthseducation","pctAdults4yrDegree","medIncomeAdults4yrDegree","medEducatorIncome","pctProfessionalsInEducation","pctEnrolledSchool","pctAdultsInHigherEd","totalPrimarySecondaryVocationalSchools","preKProgramPerChild","education_score","education_rnk","attainment_score","education_quality_score","enrollment_score","education_access_score","education_state_rnk","NAME"
"01001020100",1993,725,0,14.0997830802603,6.34920634920635,87.4527588813303,24.2558581380621,80.303,51.875,29.5918367346939,23.6448115642747,14.5896656534954,0,0,104.25,55.7252495424414,99.13,91.39,106.22,113.97,74.0585774058577,"Census Tract 201, Autauga County, Alabama"
"01001020200",1959,840,209,21.0526315789474,4.34782608695652,85.1746258018532,16.6883116883117,46.827,34.583,12.0833333333333,21.5303430079156,18.6316432498473,4,0.0202020202020202,91.97,29.5267537181439,92.85,106.75,103.07,77.09,46.8619246861925,"Census Tract 202, Autauga County, Alabama"
"01001020300",3507,1428,0,11.4285714285714,8.42315369261477,85.0299401197605,18.0740740740741,33.667,27.036,18.3544303797468,22.6915234488785,19.9858507251503,1,0.0103092783505155,89.22,24.9850043833341,95.65,124.29,98.83,99.01,40.5857740585774,"Census Tract 203, Autauga County, Alabama"
"01001020400",3878,1863,0,13.0612244897959,1.96078431372549,91.8417366946779,32.9753632343651,48.875,42.159,23.1884057971014,18.9673340358272,11.5361077111383,0,0,108.2,64.4334732924222,109.03,110.52,119.3,113.97,81.0669456066946,"Census Tract 204, Autauga County, Alabama"
"01001020500",10596,4622,178,14.6848381601363,4.91755005889282,92.0347467608952,40.2374336953776,53.169,42.483,7.24967490247074,25.2014940043247,20.4173913043478,2,0,105.82,59.2826712191821,107.52,94.34,93.83,106.55,77.1966527196653,"Census Tract 205, Autauga County, Alabama"
"01001020600",3668,1436,0,25,2.28329809725159,85.4545454545455,19.4879633167749,52.422,46.35,14.9139579349904,28.9952420934789,28.2824698367637,0,0,89.63,25.6017471815931,93.12,99.02,74.21,113.97,42.0502092050209,"Census Tract 206, Autauga County, Alabama"
"01001020700",3586,1415,100,27.2291466922339,8.88689407540395,77.4236983842011,8.48082595870206,42.024,23.176,16.5217391304348,25.4602991944764,19.7891036906854,4,0,75.46,10.2431596917824,77.39,119.92,94.44,99.14,8.78661087866109,"Census Tract 207, Autauga County, Alabama"
"01001020801",3196,1316,0,16.3292847503374,3.07910942681194,93.6049265750829,31.2371557747637,52.833,41.739,17.8893178893179,30.5387312719158,18.25303564434,2,0.00689655172413793,102.35,51.5187868161614,106.72,103.92,88.35,99.02,70.2405857740586,"Census Tract 208.01, Autauga County, Alabama"
"01001020802",11142,4327,8,21.773097826087,3.00882588927521,92.3375234019791,23.9722695207979,63.85,43.516,20.5410821643287,26.5873384772706,22.238519688593,2,0,98.38,42.7413525277227,100.49,98.49,88.42,106.55,60.9832635983264,"Census Tract 208.02, Autauga County, Alabama"
"01001020900",6143,2523,19,13.1652661064426,4.48041285479709,87.9193056532958,20.111616370401,42.136,40.512,17.974180734856,22.6411903956713,13.2804757185332,4,0.00226757369614512,98.83,43.7564404251065,100.55,111.14,110.12,96.67,61.663179916318,"Census Tract 209, Autauga County, Alabama"
