"GEOID","B01001_001","B25001_001","B26001_001","pctWomenLTHS","pctpeoplewithlessthan9thgrade","pctpeoplewithatleasthseducation","pctAdults4yrDegree","medIncomeAdults4yrDegree","medEducatorIncome","pctProfessionalsInEducation","pctEnrolledSchool","pctAdultsInHigherEd","totalPrimarySecondaryVocationalSchools","preKProgramPerChild","education_score","education_rnk","attainment_score","quality_education_score","enrollment_score","education_access_score","education_state_rnk","NAME"
"01001",55036,23152,525,20.9667896678967,5.45746388443018,87.7003019832957,23.1512028318925,50.404,38.458,12.9604648749611,25.3160264501422,19.4246072230157,5,0.00127469725940089,109.14,68.8938618925831,96.69,121.15,107.78,92.42,87.8787878787879,"Autauga County, Alabama"
"01003",203360,110023,2884,15.8156911581569,4.01826292458503,90.2133937436199,28.6383642437216,48.816,40.544,18.3172242343713,22.4696572063818,16.281166598543,16,0.000608378237441335,118.17,83.0882352941177,83.9,115.97,90.16,96.66,93.9393939393939,"Baldwin County, Alabama"
"01005",26201,11918,2875,24.6188249644237,12.5637409135293,73.0931973527178,11.0649199980664,41.765,38.116,30.7296137339056,20.9545203751872,16.5117676977852,4,0.00139275766016713,72.29,7.86445012787724,131.36,91.54,86.85,92.07,6.06060606060606,"Barbour County, Alabama"
"01007",22580,9112,2058,15.9681475272422,8.87193391764928,82.1363263761902,11.9650459332288,38.388,41.923,24.3301642178047,21.205592482237,16.3954543029398,2,0.000781860828772478,92.23,32.3849104859335,108.2,98.46,87.15,90.84,63.6363636363636,"Bibb County, Alabama"
"01009",57667,24161,548,23.0260568369676,10.1608613046232,79.7846738442052,12.0470726951159,50,42.67,21.6773017319964,22.2433017736653,19.0834605707404,4,0.0005720823798627,88.36,26.3427109974425,119.34,116.33,98.49,91.56,51.5151515151515,"Blount County, Alabama"
"01011",10478,4516,421,29.7244094488189,6.37115358546835,71.3569201572455,12.0307988450433,40.521,23.95,17.9920477137177,21.0997315302774,15.0391524643022,2,0.0016366612111293,75.08,10.230179028133,129.3,87.18,82.54,91.38,10.6060606060606,"Bullock County, Alabama"
"01013",20126,10008,317,23.6096083098896,9.24917609972776,81.0502937383579,14.650295705837,42.487,40.962,22.3225806451613,21.2149055640633,17.2531769305963,2,0.000844594594594595,88.35,26.2787723785166,115.95,104.49,89.91,90.88,50,"Butler County, Alabama"
"01015",115527,53655,3070,20.2353027415335,7.68217790440013,83.2174738841405,16.4333995582539,38.988,40.008,21.8355893034005,24.8349429559282,17.5862905863856,7,0.00061012812690665,94.39,36.5409207161125,107.26,99.62,100.63,92.85,69.6969696969697,"Calhoun County, Alabama"
"01017",33895,16989,504,20.5073144544356,9.48603257658874,80.8549244661997,12.2189271369045,44.726,37.316,23.1430325352977,21.6656977633632,16.37927944076,7,0.00097323600973236,88.92,27.3017902813299,114.73,102.21,88.32,93.08,56.0606060606061,"Chambers County, Alabama"
"01019",25855,16466,302,25.8315909522904,10.6080757567697,79.5180081927967,11.9290938150821,47.096,37.052,27.2044286279162,20.4188481675393,17.2467843806187,13,0.00427350427350427,81.21,16.1764705882353,123.11,100.56,87.76,97.7,19.6969696969697,"Cherokee County, Alabama"
"01021",43805,19518,393,19.7568389057751,9.12550089234603,81.8466511768866,13.8385205232296,50.639,37.654,21.9915254237288,22.9998095056672,20.1311849422501,18,0.00105559465165376,92.93,33.7915601023018,111.58,111.05,103.85,97.79,65.1515151515152,"Chilton County, Alabama"
"01023",13188,7329,180,21.9547251167805,8.31834056513917,80.093131548312,10.6182026330853,40.972,24.5,25.6721595836947,21.31597521763,12.4977293369664,4,0.00302114803625378,82.7,18.1265984654731,116.29,80.31,75.01,93.1,24.2424242424242,"Choctaw County, Alabama"
"01025",24625,12704,362,19.1299790356394,7.35772117487146,81.4668163820105,11.7314635550207,38.385,36.471,36.2565445026178,21.8829729390606,16.421605029952,2,0.000732064421669107,83.64,19.3734015345269,110.14,79.72,89.04,90.81,31.8181818181818,"Clarke County, Alabama"
"01027",13407,6797,254,30.7586680398215,16.8270756213644,73.2945531464833,9.39336492890995,37.879,39.352,36.7052023121387,21.8733122444256,17.1877823965299,3,0.00147710487444609,59.14,2.39769820971867,144.09,81.92,91.46,91.7,0,"Clay County, Alabama"
"01029",14939,6781,165,21.4064436183395,12.1883123134688,75.8159237508424,11.5059663792353,40.893,41.083,34.313005143277,21.9768810133592,19.4283347141674,13,0.00456100342075257,75.47,10.613810741688,124.67,90.1,98.88,97.88,12.1212121212121,"Cleburne County, Alabama"
"01031",51073,23038,605,19.3888121546961,7.46487793643482,85.3897973284201,21.1223494377984,45.893,39.509,21.9032686045109,24.1270615988449,19.4926796050392,4,0.000631113916061849,100.17,47.7941176470588,101.26,107.45,104.82,91.6,80.3030303030303,"Coffee County, Alabama"
"01033",54435,26333,431,19.7684036393714,7.45386877651407,83.9132811076699,17.2186205443865,45.446,39.915,26.8227848101266,21.7494584014291,17.4301900258721,38,0.002925877763329,96.48,39.9936061381074,105.34,102.2,91.9,107.43,74.2424242424242,"Colbert County, Alabama"
"01035",12649,7125,46,16.8588469184891,10.1117191062471,79.0013679890561,8.01012658227848,43.382,36.324,29.6675191815857,21.3377871924393,16.6940709933262,12,0.0050125313283208,83.78,19.5012787723785,116.15,92.59,88.45,97.74,33.3333333333333,"Conecuh County, Alabama"
"01037",10955,6527,392,26.2208534975803,9.8312184304546,76.7524947640754,10,29.638,39.412,25.6637168141593,17.6159554730983,15.1347909148801,4,0,74.45,9.6227621483376,126.29,83.46,73.54,91.2,9.09090909090909,"Coosa County, Alabama"
"01039",37519,18890,638,20.1051416848314,9.32010902483343,82.0449727437916,14.274973514234,44.423,41.107,25.6571295650151,21.6257078454011,18.081469180424,21,0.00276497695852535,91.08,30.5306905370844,111.74,103.53,93.65,100.13,60.6060606060606,"Covington County, Alabama"
"01041",13866,6775,147,21.6776315789474,9.85607008760951,79.3387567793075,14.6757361162877,41.315,38,24.8318042813456,22.8257621040048,18.3059866962306,2,0.00127551020408163,85.36,21.8670076726343,116.49,97.04,97.57,91.15,42.4242424242424,"Crenshaw County, Alabama"
"01043",81703,37524,1181,22.1073580629112,8.79407616361072,82.1103667136812,13.8635430808575,46.595,37.202,21.6632905694351,21.5890932149651,17.5633006555602,11,0.00101502233049127,90.99,30.3708439897698,113.22,105.92,91.9,94.8,59.0909090909091,"Cullman County, Alabama"
"01045",49393,23000,1211,17.1202504130076,6.56993511175198,85.9619081951454,15.5855498213577,46.389,25.735,16.8450986952158,25.2621604548326,18.8923525566896,4,0.00061576354679803,98.74,44.4693094629156,100.39,97.62,105.94,91.59,78.7878787878788,"Dale County, Alabama"
