"GEOID","B01001_001","B25001_001","B26001_001","pctWomenLTHS","pctpeoplewithlessthan9thgrade","pctpeoplewithatleasthseducation","pctAdults4yrDegree","medIncomeAdults4yrDegree","medEducatorIncome","pctProfessionalsInEducation","pctEnrolledSchool","pctAdultsInHigherEd","totalPrimarySecondaryVocationalSchools","preKProgramPerChild","education_score","education_rnk","attainment_score","education_quality_score","enrollment_score","education_access_score","education_state_rnk","NAME"
"01001020100",1845,765,0,10.1654846335697,5.40111199364575,90.6274821286735,34.6610761705101,45.938,50,26.3261296660118,25.0548245614035,15,0,0.00929005351053185,108.7,65.3068709181443,109.86,104.23,104.92,106.78,82.884448305821,"Census Tract 201, Autauga County, Alabama"
"01001020200",2172,878,195,25.4637436762226,5.3206002728513,81.9918144611187,15.3245192307692,42.614,35.104,19.7478991596639,26.5536723163842,22.9452054794521,4,0.0273972602739726,88.1,23.0967796538445,90.79,110.93,89.94,73.35,34.3179843614248,"Census Tract 202, Autauga County, Alabama"
"01001020300",3385,1443,0,6.58682634730539,7.50750750750751,86.3148863148863,18.2874854707478,32.991,26.637,18.9376443418014,24.9243799153055,21.7777777777778,0,0.0070535591468853,95.38,35.5479384424414,103.36,122.12,94.46,108.91,55.2562988705473,"Census Tract 203, Autauga County, Alabama"
"01001020400",4267,1940,0,17.0502092050209,6.28590740114904,89.9628252788104,24.2194604425584,50.575,49.063,20.7954545454545,23.7667071688943,15.9050966608084,0,0.00326946089211851,103.78,54.1280521349075,102.02,97.58,105.61,112.51,74.8045178105995,"Census Tract 204, Autauga County, Alabama"
"01001020500",9965,4440,181,8.99383983572895,3.92616466451802,94.0668033987694,40.4867554121285,51.064,38.717,3.3688552767274,24.1928721174004,18.0716745313098,2,0,113.61,75.3529967697798,115.25,90.77,101.5,107.52,89.0529973935708,"Census Tract 205, Autauga County, Alabama"
"01001020600",3620,1427,0,34.5605700712589,4.26243209360635,81.5712494776431,18.117821415339,47.667,48.472,22.1327967806841,28.9563244469654,25.1206064782908,0,0.00437807119461846,86.55,20.9907889354379,86.86,100.91,82.58,111.46,30.4083405734144,"Census Tract 206, Autauga County, Alabama"
"01001020700",3420,1374,73,20.6629834254144,8.39398350315381,80.6404657933042,9.69267139479905,29.338,40.083,9.34959349593496,22.5469086434943,19.7609264101606,4,0,88.15,23.1588450199597,88.92,108.96,101.53,99.42,34.5351867940921,"Census Tract 207, Autauga County, Alabama"
"01001020801",2913,1185,0,22.5155279503106,3.34498252621068,95.2571143285072,36.2425355994488,63.125,40.625,10.6382978723404,28.2328337399791,21.5586615840745,2,0.00833333333333333,106.93,61.3896999703779,107.47,86.89,89.38,99.59,80.1476976542137,"Census Tract 208.01, Autauga County, Alabama"
"01001020802",11333,4315,5,29.5081967213115,4.8019870291155,89.4853042638333,22.1658819268381,63.393,36.111,11.9766825649179,29.3090775450202,23.3741648106904,2,0,95.22,35.1995260462951,95.13,90.55,84.75,107.52,54.3440486533449,"Census Tract 208.02, Autauga County, Alabama"
"01001020900",6167,2400,19,18.9313984168865,4.63544181554804,89.8116851762434,14.6860514117151,49.781,40.808,16.991643454039,23.0899256254226,14.3699626498919,4,0.00229357798165138,100.84,47.4969319961068,99.5,100.48,109.14,97.24,69.3744569939183,"Census Tract 209, Autauga County, Alabama"
"01001021000",2796,1335,13,30.2439024390244,11.4745308310992,73.5120643431635,13.4321445113478,61.111,41.094,37.2013651877133,23.5425176383216,18.6379928315412,1,0,82.42,16.244199004133,77.9,107.76,101.67,111.57,18.76629018245,"Census Tract 210, Autauga County, Alabama"
"01001021100",3153,1650,39,29.1375291375291,6.12244897959184,77.0975056689342,9.31157978511739,42.9492342649174,14.219,13.1578947368421,18.2327728321794,14.252785247791,1,0,85.03,19.0427827853244,83.56,118.94,117.29,111.57,25.6733275412685,"Census Tract 211, Autauga County, Alabama"
"01003010100",3988,2224,27,16.7325428194993,13.3357426816046,75.027105168052,11.9705340699816,42.9492342649174,23.125,12.8205128205128,18.9840944073884,12.8174484613086,0,0.00281101250134174,88.38,23.4917410745772,84.77,113.08,118.32,112.95,35.5777584708949,"Census Tract 101, Baldwin County, Alabama"
"01003010200",3259,1271,8,13.4909596662031,3.95992366412214,87.881679389313,8.01378716070659,42.9492342649174,26,6.47058823529412,20.8015899304405,20.8128078817734,2,0.00277777777777778,97.06,39.111054688051,100.19,106.53,102.74,104.88,60.0347523892268,"Census Tract 102, Baldwin County, Alabama"
"01003010300",9056,3124,508,12.6951092611863,5.94756290691536,89.6709484427239,17.0385085574572,71.08,37.083,15.9016393442623,27.1290809805972,20.5471478463329,4,0.00134952766531714,103.12,52.6977275612543,102.66,87.71,92.78,98.14,73.6750651607298,"Census Tract 103, Baldwin County, Alabama"
"01003010400",4810,2018,0,17.1111111111111,3.62728785357737,87.6206322795341,17.9929783499122,50.139,43.182,26.9525267993874,23.9917506874427,19.4519804666305,4,0.00354609929078014,98.76,42.8109968544144,100.91,106.17,99.65,96.05,64.7263249348393,"Census Tract 104, Baldwin County, Alabama"
"01003010500",5038,1928,594,9.92282249173098,4.28931875525652,88.0011213905242,19.4913054762523,35.074,45.465,38.1818181818182,24.0748355263158,16.6209134015473,5,0.00597014925373134,99.19,43.7560831111675,105.18,123.22,103.98,89.69,66.0295395308428,"Census Tract 105, Baldwin County, Alabama"
"01003010600",3418,1479,19,12.5156445556946,6.53937947494033,71.7422434367542,8.65108651086511,39.844,27.321,27.0142180094787,27.1813073055309,27.2182254196643,0,0.00366242494165198,82.1,15.93528275006,89.46,123.11,82.18,112.14,17.7237185056473,"Census Tract 106, Baldwin County, Alabama"
"01003010701",8068,3498,17,14.4266337854501,2.39971346704871,95.2722063037249,48.9995038862246,54.146,49.596,14.4536213468869,27.7329232346533,21.8262465585806,3,0.00223214285714286,113.03,74.1991451906394,116.29,90.12,89.77,101.35,87.9235447437011,"Census Tract 107.01, Baldwin County, Alabama"
"01003010703",17748,6439,22,11.376404494382,0.819318671841311,95.8689090125054,47.8003581717667,65.212,44.355,15.3611393692777,26.9034938842395,22.4359444974671,7,0.00175438596491228,115.53,78.9161130153894,119.26,86.67,90.17,85.6,90.7906168549088,"Census Tract 107.03, Baldwin County, Alabama"
"01003010704",5883,2096,0,12.618526622903,0.569505565622573,97.3077918716024,29.2617775619233,46.691,41.09,15.8668730650155,29.2393579902303,31.4751089699472,0,0.00219534405724384,104.21,55.1873950883726,114.56,101.53,72.1,113.54,75.1520417028671,"Census Tract 107.04, Baldwin County, Alabama"
"01003010705",9704,4343,71,8.30298616168973,2.09027567403817,95.4559224477431,31.8903318903319,47.397,36.733,15.5898290954564,26.8310598111228,17.820197044335,4,0.00186567164179104,110.07,68.1985527485083,115.52,103.6,97.57,97.65,84.7958297132928,"Census Tract 107.05, Baldwin County, Alabama"
"01003010800",7499,3002,224,17.6393442622951,4.22032890826233,92.8472359817713,37.4057573680603,73.194,21.974,11.0421286031042,22.7457351746548,13.9039134584792,3,0.00304878048780488,110.35,68.7500881610314,108.51,92.17,110.44,100.57,85.4039965247611,"Census Tract 108, Baldwin County, Alabama"
